question_index,question,intent
1,"Trong mô hình nhà thông minh, IoT chủ yếu đóng vai trò gì?",tra_cuu
2,"Năm 2010, công nghệ nào thường được sử dụng trong kiểm soát ra vào ngôi nhà thông minh?",tra_cuu
3,Bộ cảm biến trong nhà thông minh thực hiện chức năng gì và bộ truyền động có vai trò gì?,tra_cuu
4,Nội dung chính của bài báo nghiên cứu Public_001 về IoT trong xây dựng nhà thông minh là gì?,tra_cuu
5,"Dựa vào thông tin trong tài liệu Public_001, hãy tính số bài báo trung bình mỗi lớp trong nghiên cứu được đề cập.",tinh_toan
6,"Dựa trên tài liệu Public_002, mô tả học phần Cơ sở dữ liệu nâng cao, hãy liệt kê các loại CSDL không được đề cập trong nội dung học phần này.",tra_cuu
7,Nhóm môn học trong tài liệu Public_002 tập trung cung cấp cho sinh viên kiến thức tổng quan về lĩnh vực nào?,tra_cuu
8,"Trong tài liệu Public_002, đối với đoạn liệt kê các học phần từ số 47 đến 81, nếu các học phần này được trải đều trên 7 trang, trung bình mỗi trang mô tả bao nhiêu học phần?",tinh_toan
9,Điểm BLEU được dùng để đánh giá chất lượng bản dịch trong tài liệu Public_003 là gì?,tra_cuu
10,Công cụ nào được nhóm tác giả của tài liệu Public_003 sử dụng để huấn luyện các hệ dịch nơ ron?,tra_cuu
11,Điểm BLEU và công cụ huấn luyện hệ dịch nơ ron trong nghiên cứu này là gì?,tra_cuu
12,Nội dung chính của tài liệu Public_003 là gì?,tra_cuu
13,"Theo kết quả thử nghiệm, hệ dịch Adapt_System cải thiện bao nhiêu điểm BLEU so với Baseline_G trong miền pháp lý?",tra_cuu
14,Công nghệ in bê tông 3D được thực hiện theo quy trình nào?,tra_cuu
15,Công nghệ nào được phát triển tại Đại học Loughborough (Anh)?,tra_cuu
16,"Công nghệ in bê tông 3D nào vừa cho phép kiểm soát tốt cấu trúc sản phẩm, vừa sử dụng bê tông cốt liệu sợi tổng hợp cường độ cao?",tra_cuu
17,Nội dung chính của bài báo Public_004 là gì?,tra_cuu
18,"Trong tài liệu, ưu điểm của công nghệ Contour Crafting so với Concrete Printing là gì?",tra_cuu
19,OCR là viết tắt của gì trong bài báo này?,tra_cuu
20,"Giải pháp thử nghiệm tại Học viện Ngân hàng được lựa chọn là gì, theo tài liệu Public_005?",tra_cuu
21,"Công nghệ nào vừa cho phép máy tính tự động nhận biết ký tự trên hình ảnh, vừa có khả năng đọc hiểu dữ liệu chữ viết tay và chữ in?",tra_cuu
22,Nội dung chính của bài báo là gì?,tra_cuu
23,"Theo tài liệu Public_005, tỷ lệ sai số theo đơn vị từ của FPT.AI Reader trong thử nghiệm là bao nhiêu?",tra_cuu
