Question,A,B,C,D,Answer
Mật khẩu mạnh dành cho người quản trị hệ thống nên có tối thiểu bao nhiêu ký tự?,Ít nhất 6 ký tự,Ít nhất 8 ký tự,Ít nhất 10 ký tự,Ít nhất 12 ký tự,C
"Trong ví dụ gây tràn bộ đệm, biến buffer trong hàm function() có kích thước bao nhiêu byte?",8 byte,16 byte,64 byte,256 byte,B
Sâu SQL Slammer sử dụng cổng dịch vụ nào để quét tìm máy có lỗ hổng?,Cổng 21,Cổng 80,Cổng 1433,Cổng 1434,D
"Trong tấn công SQL Injection vượt qua xác thực đăng nhập, chuỗi nào được chèn để khiến điều kiện WHERE luôn đúng?",AND 1=0,OR 1=1--,UNION SELECT *,DROP TABLE users,B
"Theo mô tả về phishing, kẻ tấn công thường giả mạo tổ chức nào để đánh cắp thông tin người dùng?",Nhà cung cấp dịch vụ Internet và diễn đàn game,Trang thương mại điện tử và công ty vận chuyển,Tổ chức tài chính và ngân hàng,Nhà phát triển phần mềm và mạng xã hội,C
Biện pháp nào giúp ngăn mã độc thực thi dù kẻ tấn công đã chèn được mã vào bộ đệm?,Sử dụng giao thức FTP,Kích hoạt cơ chế DEP (Data Execution Prevention),Lưu mật khẩu ở dạng plaintext,Cho phép thực thi mã trong vùng dữ liệu,B
"Trong trò lừa đảo Nigeria 4-1-9, kẻ lừa đảo thường hứa trả cho nạn nhân khoảng bao nhiêu phần trăm số tiền để dụ tham gia?",5-10%,10-15%,20-30%,40-50%,C
"Khi phanh gấp, người lái xe nên đặt gót chân như thế nào?",Tì chặt xuống sàn xe để giữ thăng bằng,Đặt nửa gót chân trên bàn đạp ga,Không để gót chân dính xuống sàn xe,Đặt gót chân lên bàn đạp ly hợp,C
Số nào trên xe hộp số cơ khí có lực kéo lớn nhất nhưng tốc độ chậm nhất?,Số 1,Số 2,Số 4,Số 5,A
"Sau khi vào số 1 trên xe số sàn, người lái nên nhả bàn đạp ly hợp như thế nào?",Nhả toàn bộ thật nhanh ngay lập tức,"Khoảng 2/3 đầu nhả nhanh, 1/3 sau nhả từ từ",Giữ nguyên ly hợp và tăng ga trước,Nhả chậm đều toàn bộ hành trình,B
"Khi chuyển từ số 4 sang số 5 trên xe số sàn, người lái cần thực hiện thao tác nào?",Đẩy thẳng cần số xuống số 5 mà không cần qua số 0,Đạp phanh rồi kéo cần số sang trái,"Đạp hết hành trình ly hợp, kéo cần số về số 0 rồi đẩy nhẹ sang cửa số 5",Nhả ga hoàn toàn rồi chuyển trực tiếp sang số lùi,C
"Trên xe hộp số tự động, số nào được sử dụng khi đỗ xe?",Số N,Số D,Số R,Số P,D
"Khi xuống dốc dài với xe số tự động, người lái được khuyến nghị cài số nào?",Chỉ dùng số D,Số P hoặc số N,Số 2 hoặc số 1 (L),Chỉ dùng số R,C
"Khi cài số 1 trên xe hộp số tự động, điều kiện nào cần được đảm bảo trước?",Xe đang chạy tốc độ cao để tránh chết máy,Phải đạp hết ga trước khi cài số,Xe phải đi rất chậm hoặc dừng hẳn và đạp phanh,Chỉ cần kéo phanh tay là đủ,C
"Trước khi khởi động động cơ, người lái cần kiểm tra mức dầu bôi trơn bằng dụng cụ nào?",Đồng hồ áp suất dầu,Bơm dầu phụ,Thước thăm dầu,Van xả dầu,C
"Đối với động cơ Diesel, thao tác nào cần thực hiện trước khi vặn chìa khóa sang vị trí START?",Đạp ga hết hành trình,Sấy nóng buồng đốt và chờ đèn sấy tắt,Kéo phanh tay xuống,Chuyển cần số sang D,B
"Theo hướng dẫn, mỗi lần khởi động động cơ không nên kéo dài quá bao nhiêu giây?",3 giây,5 giây,10 giây,15 giây,B
"Khi tắt động cơ Diesel, nên để động cơ chạy chậm trong khoảng bao lâu trước khi tắt máy?",30 giây,1 phút,2 phút,3 phút,D
"Khi khởi hành trên đường bằng với xe số sàn, sau khi vào số 1 người lái cần thao tác gì với phanh tay?",Đạp thêm phanh chân,Giữ nguyên phanh tay đến khi xe chạy nhanh,Nhả phanh tay bằng cách bấm nút mở khóa rồi hạ cần xuống,Tắt động cơ rồi nhả phanh tay,C
"Trong trường hợp xuống dốc cao nguy hiểm hoặc đi trên đường trơn lầy, phương pháp nào được khuyến nghị để giảm tốc độ?",Chỉ dùng phanh tay,Chỉ dùng bàn đạp ga,Sử dụng phanh động cơ,Tắt động cơ để giảm quán tính,C
"Khi phanh để dừng hẳn ô tô nhằm tránh động cơ bị tắt, người lái cần thực hiện thao tác nào?",Tăng ga đồng thời đánh lái,Cắt ly hợp khi phanh,Chuyển sang số cao hơn,Kéo phanh tay ngay lập tức,B
"Khi tăng từ số 4 lên số 5, số 5 có đặc điểm gì so với số 4?",Lực kéo lớn hơn nhưng tốc độ nhỏ hơn,Lực kéo nhỏ hơn nhưng tốc độ lớn hơn,Lực kéo và tốc độ đều nhỏ hơn,Lực kéo và tốc độ đều lớn hơn,B
"Theo hướng dẫn thao tác tăng số, khi chuyển từ số 1 sang số 2 cần nhả ly hợp như thế nào?",Nhả ly hợp thật nhanh,Nhả ly hợp chậm,Giữ nguyên ly hợp rồi tăng ga,Nhả ly hợp theo từng nhịp ngắt quãng,B
"Khi xe đi vào đoạn đường xấu hoặc đèo dốc, người lái cần giảm số với mục đích chính nào?",Giảm tiêu hao nhiên liệu,Tăng tốc độ tối đa,Tăng lực kéo cho xe,Giảm nhiệt độ động cơ,C
"Theo hướng dẫn giảm số, thời điểm phù hợp để giảm số là khi nào?",Khi động cơ hoạt động yếu đi,Ngay sau khi tăng ga mạnh,Khi xe đạt tốc độ tối đa,Chỉ khi xe đã dừng hẳn,A
Vì sao việc lùi xe ôtô thường khó hơn chạy tiến?,Xe tiêu hao nhiên liệu nhiều hơn,Không quan sát chính xác phía sau và khó điều khiển ly hợp,Động cơ hoạt động không ổn định,Hệ thống phanh hoạt động yếu hơn,B
Thiết bị nào hỗ trợ người lái quan sát các điểm mù phía sau mà gương chiếu hậu không nhìn thấy?,Đèn pha và đèn sương mù,Bộ định vị GPS,Cảm biến lùi và camera chiếu hậu,Hệ thống điều hòa tự động,C
"Khi muốn chuyển hướng đầu xe sang trái trong lúc lùi, đuôi xe sẽ di chuyển theo hướng nào?",Sang phải,Sang trái,Đi thẳng,Quay vòng tại chỗ,A
"Khi lùi xe ghép dọc vào nơi đỗ, người lái cần bật đèn xin đường bên nào?",Bên trái,Bên phải,Cả hai bên,Không cần bật,B
"Trong quá trình ghép xe dọc, khi nhìn qua vai sang phải thấy giữa hình ghép xe, người lái cần thực hiện thao tác nào tiếp theo?",Đánh hết lái sang trái,Đạp ga mạnh để tăng tốc,Kéo phanh tay,Đánh hết lái sang phải,A
"Khi lùi xe ghép dọc, thao tác nào giúp xe lùi thẳng vào nơi đỗ?",Đánh hết lái sang trái liên tục,Trả lái sang phải khi lùi,Về số 0 rồi đạp ga,Kéo phanh tay khi xe đang lùi,B
"Theo lưu ý trong bài ghép xe dọc, người lái cần quan sát như thế nào trong quá trình lùi xe?",Chỉ nhìn phía trước đầu xe,Chỉ quan sát qua camera lùi,Liên tục quan sát qua gương chiếu hậu và có thể quay đầu nhìn trực tiếp,Chỉ cần quan sát gương chiếu hậu bên trái,C
"Khi lùi xe ghép ngang, lúc nhìn qua gương chiếu hậu bên phải thấy góc cuối cùng bên phải của vị trí đỗ xe, người lái cần làm gì?",Đánh lái sang phải để lùi sâu hơn,"Trả lái, đánh lái sang trái để lùi thẳng xe vào",Đạp hết ga để vào nhanh,Kéo phanh tay để dừng xe,B
"Trong quá trình ghép xe ngang, khi xe đã đến gần đầu xe màu đen, người lái cần thực hiện thao tác nào?",Tiếp tục lùi nhanh,Cài số lùi và tăng ga,Dừng lại bằng cách đạp ly hợp hết hành trình và đạp phanh,Đánh hết lái sang phải,C
"Sau khi xe song song với vỉa hè và tiến sát xe màu hồng trong bài ghép xe ngang, bước tiếp theo là gì?",Tắt máy ngay lập tức,Giữ ly hợp và phanh rồi cài số lùi (R),Đánh lái sang trái và tăng ga mạnh,Kéo phanh tay và rời khỏi xe,B
"Theo phương pháp điều khiển xe ôtô chuyển động đúng hướng, đường thẳng dẫn hướng tưởng tượng được xác định bởi mấy điểm?",Hai điểm,Ba điểm,Bốn điểm,Năm điểm,B
"Khi điều khiển xe ôtô quay vòng sang phải, người lái cần quay vô lăng theo chiều nào?",Ngược chiều kim đồng hồ,Theo chiều kim đồng hồ,Giữ nguyên vô lăng,Đánh lái sang trái trước rồi sang phải,B
"Theo phương pháp căn đường, khi người lái thấy vị trí của mình lệch hẳn sang bên trái điểm chuẩn thì xe đang ở vị trí nào?",Ở giữa đường,Ở bên phải đường,Ở bên trái đường,Đang đi đúng tim đường,C
"Khi tránh nhau trên mặt đường hẹp vào ban đêm, người lái xe nên sử dụng loại đèn nào?",Đèn pha,Đèn cảnh báo khẩn cấp,Đèn sương mù,Đèn cốt,D
"Khi lên dốc thấp, người lái cần thực hiện thao tác nào để vượt dốc hiệu quả?",Về số thấp ngay từ đầu dốc,Tăng tốc độ trước khi đến chân dốc để lấy đà,Đạp phanh liên tục khi lên dốc,Tắt điều hòa để giảm tải động cơ,B
"Khi xuống dốc dài, phương pháp phanh nào nên được sử dụng chủ yếu để tránh cháy má phanh?",Phanh tay,Phanh chân liên tục,Phanh động cơ,Tắt máy để giảm tốc,C
"Khi dừng xe trên dốc lên không có bó vỉa, người lái cần đánh tay lái theo hướng nào để đảm bảo an toàn?",Đánh hết sang trái,Đánh sang phải,Giữ thẳng tay lái,Đánh luân phiên hai bên,B
"Theo tài liệu, Python được sử dụng phổ biến cho lĩnh vực nào?",Thiết kế đồ họa và dựng phim,"Nghiên cứu và ứng dụng AI, Machine Learning",Quản trị cơ sở dữ liệu Oracle,Lập trình hệ điều hành nhúng,B
"Trước khi làm thí nghiệm, học viên được yêu cầu cài đặt thư viện nào sau đây?","TensorFlow, OpenCV, Flask","NumPy, Pandas, Scikit-learn, Matplotlib","PyTorch, FastAPI, Selenium","Keras, BeautifulSoup, Django",B
"Trong phần mô tả hồi quy logistic, hàm nào được sử dụng để phân loại nhị phân?",Hàm ReLU,Hàm Softmax,Hàm Sigmoid,Hàm Tanh,C
"Theo công thức chuẩn hóa dữ liệu (Standardization), giá trị z được tính như thế nào?",z = x + μ / σ,z = (x − μ) / σ,z = x² − μ,z = σ / (x − μ),B
Thuật toán nào được mô tả là dùng để gom cụm dữ liệu?,Naive Bayes,Support Vector Machine,Gradient Descent,K-Means Clustering,D
"Trong mô hình SVM, mục tiêu chính là gì?",Tìm hàm sigmoid tối ưu,Giảm số chiều dữ liệu,Tìm siêu phẳng tối ưu,Chuẩn hóa dữ liệu đầu vào,C
"Theo công thức đánh giá mô hình, chỉ số nào được tính bằng TP / (TP + FP)?",Accuracy,Recall,Precision,F1-score,C
"Theo tài liệu, Python được sử dụng trong lĩnh vực năng lượng tái tạo để làm gì?",Thiết kế phần cứng vi xử lý,Phân tích dữ liệu vận hành và tối ưu hóa cấu hình hệ thống,Điều khiển giao thông thông minh,Phát triển trò chơi điện tử,B
Một trong các kiến thức cần nắm vững trước khi làm thí nghiệm là gì?,Lập trình hệ điều hành Linux,Thiết kế mạch FPGA,Nguyên lý hoạt động của tấm pin quang điện (PV),Lập trình ứng dụng di động,C
"Theo tài liệu, hệ MPPT được sử dụng với mục đích gì?",Giảm nhiệt độ của tấm pin mặt trời,Đảm bảo pin mặt trời luôn làm việc ở điểm MPP,Tăng dung lượng pin lưu trữ,Giảm điện áp đầu ra của hệ PV,B
"Theo bảng định nghĩa đại lượng cơ bản, công suất PV được tính theo công thức nào?",Ppv = Gt + A + ηpv,Ppv = Gt / (A ⋅ ηpv),Ppv = Gt ⋅ A ⋅ ηpv,Ppv = ηpv / (Gt ⋅ A),C
"Trong hệ thống PV + Pin, hệ thống được gọi là ổn định khi điều kiện nào được thỏa mãn?",Công suất PV luôn bằng công suất tải,"SOC luôn nằm trong khoảng [0, 1]",Nhiệt độ môi trường luôn không đổi,Pin luôn ở trạng thái sạc đầy,B
"Theo bảng dữ liệu mô phỏng, tại thời điểm 12 giờ, công suất PV (Ppv) có giá trị bao nhiêu?",0.85 kW,1.55 kW,2.55 kW,3.80 kW,C
"Trong phương trình cân bằng năng lượng của hệ PV + Pin, đại lượng nào được trừ đi?",Pload(t),Ppv(t),Pdischarge(t),Pcharge(t),D
"Theo tài liệu, mạng nơ-ron nhân tạo (ANN) được xây dựng dựa trên ý tưởng nào?",Mô phỏng hoạt động của động cơ điện,Cách bộ não sinh học xử lý thông tin qua các nơ-ron liên kết,Mô hình truyền dữ liệu trong mạng Internet,Cấu trúc của cơ sở dữ liệu phân tán,B
"Theo phần mục đích thí nghiệm, ANN được ứng dụng trong bài toán nào sau đây?",Thiết kế vi mạch điện tử,Nén dữ liệu mạng,"Phân loại, dự đoán, xử lý ảnh và ngôn ngữ",Quản lý bộ nhớ hệ điều hành,C
"Theo mô tả trong tài liệu, hàm kích hoạt nào có đầu ra nằm trong khoảng (-1, 1)?",ReLU,Softmax,Sigmoid,Tanh,D
Đặc điểm nào của ReLU được nhắc đến trong tài liệu?,"Nén giá trị về khoảng (0,1)",Giữ thành phần dương và triệt tiêu thành phần âm,Biến vector logit thành phân phối xác suất,Chuẩn hóa dữ liệu theo mini-batch,B
Softmax được sử dụng để làm gì trong mạng nơ-ron?,Chuẩn hóa dữ liệu đầu vào,Tạo phân phối xác suất trên K lớp,Loại bỏ hiện tượng overfitting,Giảm số chiều dữ liệu,B
"Theo tài liệu, Dropout được sử dụng với mục đích gì?",Tăng số lượng tham số của mạng,Chuẩn hóa dữ liệu đầu vào,Vô hiệu ngẫu nhiên các đơn vị trong huấn luyện để phá đồng thích nghi,Chuyển đầu ra thành xác suất,C
Hàm loss nào được mô tả là thường dùng cho hồi quy và nhạy cảm với ngoại lai do bình phương sai số?,Cross-Entropy,Hinge Loss,Binary Cross-Entropy,MSE,D
"Theo tài liệu, học tăng cường (RL) tập trung vào mục tiêu nào?",Tối ưu hóa cơ sở dữ liệu quan hệ,Huấn luyện agent đưa ra chuỗi hành động để tối đa hóa phần thưởng tích lũy,Phân loại dữ liệu bằng nhãn cố định,Giảm số chiều dữ liệu đầu vào,B
"Theo tài liệu, môi trường RL chuẩn nào được đề cập để thực hành?",ImageNet và COCO,MNIST và CIFAR-10,"CartPole, MountainCar, Atari",PostgreSQL và MongoDB,C
"Trong mô hình MDP của Reinforcement Learning, ký hiệu γ biểu diễn đại lượng nào?",Tập trạng thái,Phần thưởng tức thời,Xác suất chuyển trạng thái,Hệ số chiết khấu,D
"Theo công thức Q-learning trong tài liệu, giá trị nào được sử dụng để cập nhật Q(s,a)?",Giá trị trung bình của mọi hành động,"Giá trị nhỏ nhất của Q(s',a')","Giá trị lớn nhất của Q(s',a')",Tổng phần thưởng của toàn bộ episode,C
"Thuật toán nào được mô tả là học theo chính sách đang thực hiện, khác với Q-learning?",Policy Gradient,SARSA,Actor-Critic,PPO,B
"Theo tài liệu, hàm Advantage dùng để đo lường điều gì?",Độ chính xác trung bình của mô hình,Mức độ tốt hơn trung bình của hành động tại một trạng thái,Tốc độ hội tụ của gradient,Số lượng trạng thái khả dụng,B
"Theo mô tả về PPO trong tài liệu, mục đích của hàm mất mát PPO là gì?",Tăng số lượng hành động được chọn,Giảm kích thước không gian trạng thái,Giới hạn cập nhật chính sách để tránh bước nhảy quá lớn,"Chuẩn hóa phần thưởng về khoảng [0,1]",C
"Theo tài liệu, mục đích chính của ontology trong xử lý ảnh là gì?",Giảm kích thước tập dữ liệu ảnh,Biểu diễn hình ảnh theo cách ngữ nghĩa để máy dễ hiểu và tìm kiếm dễ hơn,Tăng tốc độ huấn luyện mạng R-CNN,Chuyển đổi ảnh sang định dạng RDF/XML,B
"Trong luận án, kỹ thuật nào được sử dụng để nhận diện và phân đoạn đối tượng từ ảnh gốc?",YOLOv5,ResNet,R-CNN,Transformer Vision,C
"Theo tài liệu, Protégé có hạn chế gì khi quản lý ontology ảnh?",Không hỗ trợ lưu dưới dạng OWL,Không thể trực quan hóa ontology,Không quản lý hiệu quả cơ sở tri thức lớn và thường xuyên cập nhật,Không hỗ trợ RDF/XML,C
"Phương pháp xây dựng ontology nào được mô tả là kết hợp giữa thủ công và tự động, có chuyên gia kiểm tra thông tin trước khi cập nhật?",Phương pháp phân cấp,Phương pháp thủ công,Phương pháp tự động,Phương pháp bán tự động,D
"Trong mô hình xây dựng khung ontology bán tự động, định nghĩa lớp được lấy từ nguồn nào?",TensorFlow Hub,WordNet,ImageNet,OpenCV,B
"Theo ví dụ truy vấn SPARQL, truy vấn nào được dùng để tìm các phân lớp con của Bird?",SELECT ?x WHERE { ?x rdf:type :Bird },SELECT ?x WHERE { ?x rdfs:subClassOf :Bird },SELECT ?x ?y WHERE { ?y rdf:type :Bird },SELECT DISTINCT ?x WHERE { ?x :Bird ?y },B
"Theo bảng ví dụ truy vấn SPARQL, các phân lớp con của Bird bao gồm những lớp nào?","Duck, Eagle, Peacock, Swan","Car, Truck, Bus, Van","Dog, Cat, Tiger, Lion","Apple, Banana, Orange, Mango",A
"Theo tài liệu, phần mềm được định nghĩa là gì?",Một thiết bị dùng để lưu trữ dữ liệu,Tập hợp các mạch điện tử điều khiển máy tính,Tập hợp các câu lệnh được viết bằng ngôn ngữ lập trình để thực hiện chức năng hoặc giải quyết bài toán,Một hệ thống mạng kết nối các máy tính,C
"Theo tài liệu, phần mềm hệ thống có chức năng chính nào?",Soạn thảo văn bản và xử lý ảnh,Giúp vận hành phần cứng máy tính và hệ thống máy tính,Thiết kế đồ họa 3D,Quản lý mạng xã hội,B
Chức năng nào sau đây thuộc về hệ điều hành?,Biên tập video chuyên nghiệp,"Quản lý, phân phối và thu hồi bộ nhớ",Thiết kế website thương mại điện tử,Dựng mô hình 3D,B
"Theo tài liệu, hệ điều hành nào sau đây được liệt kê là hệ điều hành thông dụng?",TensorFlow,Photoshop,Ubuntu,Wireshark,C
"Trong quy trình sản xuất phần mềm, công đoạn nào bao gồm việc xây dựng kịch bản kiểm thử và đánh giá khả năng gây lỗi?",Phân tích và thiết kế,"Lập trình, viết mã lệnh","Kiểm tra, thử nghiệm phần mềm","Phát hành, phân phối sản phẩm",C
"Theo tài liệu, phần mềm nguồn mở là phần mềm có đặc điểm nào?",Chỉ được sử dụng nội bộ trong doanh nghiệp,Mã nguồn không được phép chỉnh sửa,"Mã nguồn được công bố và cho phép nghiên cứu, thay đổi, cải tiến",Bắt buộc phải trả phí bản quyền hàng năm,C
"Theo bảng phần mềm nguồn mở thông dụng, phần mềm nào được mô tả là công cụ hỗ trợ bảo mật mạng nổi tiếng, trước đây có tên là Ethereal?",ClamWin,Wireshark,Filezilla,Notepad++,B
"Theo tài liệu, thuật toán được mô tả là gì?",Một tập hợp thiết bị phần cứng xử lý dữ liệu,"Dãy thao tác rõ ràng, sắp xếp theo trình tự xác định để giải quyết bài toán",Một loại ngôn ngữ lập trình cấp thấp,Một phương pháp lưu trữ dữ liệu trên máy tính,B
Đặc trưng nào của thuật toán yêu cầu thuật toán phải dừng sau một số hữu hạn bước thực hiện?,Tính hiệu quả,Tính xác định,Tính dừng,Tính phổ dụng,C
"Trong lưu đồ thuật toán, hình thoi thường dùng để biểu diễn điều gì?",Điểm bắt đầu hoặc kết thúc,Thao tác nhập/xuất dữ liệu,Một hay nhiều chỉ thị cần thực hiện,Rẽ nhánh và kiểm tra điều kiện,D
"Theo tài liệu, mã giả (Pseudo code) có đặc điểm nào?",Chỉ gồm ký tự 0 và 1,Gần giống ngôn ngữ tự nhiên nhưng sử dụng các cấu trúc chuẩn hóa,Phải biên dịch trực tiếp sang mã máy,Chỉ dùng để mô tả phần cứng máy tính,B
"Theo tài liệu, chương trình viết bằng ngôn ngữ máy sử dụng bảng chữ cái nào?",Các ký tự ASCII mở rộng,Các chữ cái Latin,Chỉ gồm hai ký tự 0 và 1,Các ký hiệu toán học,C
"Theo tài liệu, trình thông dịch (interpreter) hoạt động như thế nào?",Dịch toàn bộ chương trình sang tập tin EXE trước khi chạy,Biên dịch trực tiếp thành mã nhị phân phần cứng,Dịch từng lệnh sang mã máy và thực hiện ngay,Chỉ kiểm tra cú pháp mà không thực thi,C
"Theo tài liệu, trình biên dịch (compiler) tạo ra loại tập tin nào trước khi liên kết thành EXE?",Tập tin .dll,Tập tin .obj,Tập tin .txt,Tập tin .sys,B
"Theo tài liệu, mục tiêu chính của giai đoạn thiết kế và mô phỏng mô hình là gì?",Giảm chi phí sản xuất hàng loạt,Đảm bảo thiết kế khả thi và giảm rủi ro trước khi chế tạo thực tế,Tăng điện áp hệ thống lên 10 kV,Loại bỏ hoàn toàn việc thử nghiệm thực tế,B
"Theo yêu cầu kỹ thuật của mô hình, thời gian đáp ứng của mạch phải nhỏ hơn bao nhiêu?",1 ms,5 ms,10 ms,20 ms,C
Hệ thống trong mô hình được thiết kế trên cơ sở mạng điện nào?,Mạng điện 1 pha 220 VAC,Mạng điện 3 pha quy đổi từ 6 kV sang 400 VAC,Mạng điện 3 pha 35 kV,Mạng điện DC 48 V,B
"Theo tài liệu, nguyên tắc phát hiện sự cố chạm đất dựa trên điều gì?",Đo nhiệt độ của dây dẫn,So sánh điện áp các pha với điểm trung tính hoặc với nhau,Đo công suất tiêu thụ của tải,Phân tích tần số sóng hài,B
"Trong cấu trúc mạch phát hiện chạm đất, thành phần nào được dùng để tác động khi phát hiện sự cố?",Máy biến áp,Mạch dao động,Rơ le,Bộ nghịch lưu,C
"Theo bảng kết quả thử nghiệm, với điện trở rò 27Ω, kết luận của hệ thống là gì?",Không phát hiện được,Đạt yêu cầu tuyệt đối,Tác động không chắc,Hệ thống bị quá tải,C
"Theo phần nhận xét, đối với mạng quy đổi từ 6 kV sang 400 VAC, mạch có khả năng phát hiện pha rò với điện trở rò không quá bao nhiêu?",10Ω,20Ω,26.6Ω,40Ω,C
"Theo bảng vật liệu cách điện, mica có độ bền điện nằm trong khoảng nào?",10-15 kV/mm,20-30 kV/mm,50-100 kV/mm,100-150 kV/mm,C
"Theo tài liệu, mica có thể chịu được nhiệt độ khoảng bao nhiêu?",100°C,300°C,600°C,1200°C,C
"Theo bảng vật liệu, mica được ứng dụng trong trường hợp nào sau đây?",Làm vỏ bọc dây dẫn,Dùng trong tụ điện và cách điện cho thiết bị nung nóng,Hàn gắn linh kiện điện tử,Làm chất chống ẩm cho động cơ,B
"Theo bảng dữ liệu, vật liệu nào được mô tả có kích thước nhỏ nhưng điện dung lớn?",Bakêlit,Cao su,Gốm,Lụa cách điện,C
"Theo tài liệu, cao su được sử dụng chủ yếu để làm gì?",Làm chất tẩm sấy biến áp,Làm vỏ bọc dây dẫn và tấm cách điện,Làm tụ điện công suất lớn,Làm vật liệu hàn gắn điện tử,B
"Theo bảng vật liệu, lụa cách điện có độ bền điện nằm trong khoảng nào?",5-15 kV/mm,8-60 kV/mm,20-30 kV/mm,60-100 kV/mm,B
"Theo tài liệu, nhựa thông được dùng để làm gì?",Làm sạch mối hàn và phối hợp với parafin làm chất tẩm sấy,Làm lõi dẫn điện cho cáp điện,Làm bộ phận phát nhiệt trong bàn là,Làm lớp phủ chống ăn mòn kim loại,A
"Theo tài liệu, biểu đồ phân tán còn được gọi là loại đồ thị nào?",Đồ thị tròn,Đồ thị cột,Đồ thị X-Y,Đồ thị Pareto,C
Biểu đồ phân tán được sử dụng chủ yếu để làm gì?,Phân loại dữ liệu theo nhóm,Xác định mối quan hệ giữa hai biến số,Biểu diễn cơ cấu phần trăm,Theo dõi tiến độ công việc,B
"Theo tài liệu, khi các điểm dữ liệu nằm trong vùng elip nghiêng về bên phải thì hai đặc tính có mối quan hệ gì?",Mối quan hệ nghịch,Không có quan hệ,Mối quan hệ thuận,Mối quan hệ phi tuyến,C
"Theo tài liệu, giá trị hệ số tương quan r gần với giá trị nào cho thấy mối quan hệ nghịch rất lớn?",r gần 0,r gần +1,r lớn hơn 0.5,r nhỏ hơn -0.85,D
"Trong biểu đồ phân tán, trục hoành thường dùng để biểu thị điều gì?",Tần số xuất hiện,Biến số,Giá trị trung bình,Hệ số hồi quy,B
"Theo bảng phân tích dạng biểu đồ phân tán, trường hợp nào biểu thị không có tương quan?",Các điểm tạo xu hướng tăng rõ rệt,Các điểm tạo xu hướng giảm rõ rệt,Các điểm phân bố ngẫu nhiên không theo xu hướng,Các điểm tạo thành đường cong,C
"Theo tài liệu, nếu hệ số tương quan Pearson r = 0 thì điều đó có ý nghĩa gì?",Hai biến có quan hệ thuận hoàn toàn,Hai biến có quan hệ nghịch hoàn toàn,"Hai biến hoàn toàn độc lập, không có liên hệ",Hai biến có mối quan hệ phi tuyến mạnh,C
"Theo tài liệu, trạng thái nào được xem là lý tưởng trong kiểm soát chất lượng sản phẩm?",Độ biến động vượt ngoài giới hạn cho phép,Giá trị trung bình lệch về giới hạn trên,Sự biến động sản phẩm nằm gọn trong giới hạn kỹ thuật và phân bố cân đối,Dung sai rộng hơn nhiều so với biến động thực tế,C
"Trong trường hợp phân bố gần giới hạn (Hình 2), nguy cơ chính của quá trình sản xuất là gì?",Sản phẩm luôn đạt chuẩn tuyệt đối,Chỉ cần dao động nhỏ cũng có thể làm sản phẩm không đạt chuẩn,Chi phí kiểm tra chất lượng giảm mạnh,Dung sai kỹ thuật trở nên quá rộng,B
"Theo tài liệu, công cụ nào được đề xuất để truy tìm nguyên nhân gây gia tăng dao động trong trường hợp sát nút (Hình 3)?",Biểu đồ Pareto,Histogram,Fishbone diagram (Ishikawa),Biểu đồ Gantt,C
"Trong trường hợp dung sai rộng hơn biến động (Hình 4), tài liệu cho rằng điều gì có thể xảy ra?",Quy trình sản xuất bị mất kiểm soát hoàn toàn,Doanh nghiệp có nguy cơ đánh mất lợi thế cạnh tranh,Sản phẩm chắc chắn bị loại bỏ hàng loạt,Mọi sai lỗi đều được loại bỏ,B
