index,question,intent,question_gen
1,"Trong mô hình nhà thông minh, IoT chủ yếu đóng vai trò gì?",tra_cuu,"Trong một ngôi nhà thông minh, các yếu tố nào là thành phần chính trong hệ thống IoT?"
2,"Năm 2010, công nghệ nào thường được sử dụng trong kiểm soát ra vào ngôi nhà thông minh?",tra_cuu,Công nghệ nào đã được triển khai để kiểm soát quyền truy cập vào ngôi nhà thông minh trong năm 2010?
3,Bộ cảm biến trong nhà thông minh thực hiện chức năng gì và bộ truyền động có vai trò gì?,tra_cuu,Bộ cảm biến trong nhà thông minh đo lường những yếu tố nào và cần thiết bị nào để lưu trữ và hiển thị dữ liệu?
4,Nội dung chính của bài báo nghiên cứu Public_001 về IoT trong xây dựng nhà thông minh là gì?,tra_cuu,Nội dung chính của bài báo Public_001 về ứng dụng IoT trong mô hình nhà thông minh được phân tích như thế nào?
5,"Dựa vào thông tin trong tài liệu Public_001, hãy tính số bài báo trung bình mỗi lớp trong nghiên cứu được đề cập.",tinh_toan,"Dựa vào thông tin trong tài liệu Public_001, hãy cho biết tổng số bài báo được phân loại trong nghiên cứu này."
6,"Dựa trên tài liệu Public_002, mô tả học phần Cơ sở dữ liệu nâng cao, hãy liệt kê các loại CSDL không được đề cập trong nội dung học phần này.",tra_cuu,"Dựa trên tài liệu Public_002, mô tả nội dung học phần Hệ quản trị cơ sở dữ liệu, hãy liệt kê các khái niệm khác về CSDL không được đề cập trong mô tả của học phần này."
7,Nhóm môn học trong tài liệu Public_002 tập trung cung cấp cho sinh viên kiến thức tổng quan về lĩnh vực nào?,tra_cuu,Nhóm môn học trong tài liệu Public_002 chủ yếu cung cấp cho sinh viên kiến thức tổng quan về lĩnh vực nào trong các hệ thống mạng và bảo mật?
9,Điểm BLEU được dùng để đánh giá chất lượng bản dịch trong tài liệu Public_003 là gì?,tra_cuu,Điểm số BLEU nào được hệ dịch Adapt_System đạt được khi dịch tập dữ liệu L_test thuộc miền pháp lý?
10,Công cụ nào được nhóm tác giả của tài liệu Public_003 sử dụng để huấn luyện các hệ dịch nơ ron?,tra_cuu,Công cụ nào được nhóm nghiên cứu sử dụng để đào tạo các hệ thống dịch nơ ron?
11,Điểm BLEU và công cụ huấn luyện hệ dịch nơ ron trong nghiên cứu này là gì?,tra_cuu,Phương pháp nào được sử dụng để đánh giá chất lượng bản dịch trong nghiên cứu này?
12,Nội dung chính của tài liệu Public_003 là gì?,tra_cuu,Phương pháp nào được đề xuất trong tài liệu Public_003 để cải thiện dịch máy nơ ron cho cặp ngôn ngữ Anh - Việt?
13,"Theo kết quả thử nghiệm, hệ dịch Adapt_System cải thiện bao nhiêu điểm BLEU so với Baseline_G trong miền pháp lý?",tra_cuu,"Theo kết quả thử nghiệm, hệ thống dịch Adapt_System đã cải thiện bao nhiêu điểm BLEU so với hệ thống Baseline_G trong miền pháp lý?"
