question_index,question,llm_answer,gt_answer,is_correct,context_tokens
0,"Trong mô hình nhà thông minh, IoT chủ yếu đóng vai trò gì?",B,B,✓,388
1,"Năm 2010, công nghệ nào thường được sử dụng trong kiểm soát ra vào ngôi nhà thông minh?",B,B,✓,257
2,Bộ cảm biến trong nhà thông minh thực hiện chức năng gì và bộ truyền động có vai trò gì?,C,C,✓,309
3,Nội dung chính của bài báo nghiên cứu Public_001 về IoT trong xây dựng nhà thông minh là gì?,C,C,✓,608
4,"Dựa vào thông tin trong tài liệu Public_001, hãy tính số bài báo trung bình mỗi lớp trong nghiên cứu được đề cập.",B,B,✓,122
5,"Dựa trên tài liệu Public_002, mô tả học phần Cơ sở dữ liệu nâng cao, hãy liệt kê các loại CSDL không được đề cập trong nội dung học phần này.",D,D,✓,202
6,Nhóm môn học trong tài liệu Public_002 tập trung cung cấp cho sinh viên kiến thức tổng quan về lĩnh vực nào?,B,B,✓,568
7,"Trong tài liệu Public_002, đối với đoạn liệt kê các học phần từ số 47 đến 81, nếu các học phần này được trải đều trên 7 trang, trung bình mỗi trang mô tả bao nhiêu học phần?",A,A,✓,161
8,Điểm BLEU được dùng để đánh giá chất lượng bản dịch trong tài liệu Public_003 là gì?,C,C,✓,226
9,Công cụ nào được nhóm tác giả của tài liệu Public_003 sử dụng để huấn luyện các hệ dịch nơ ron?,B,B,✓,225
10,Điểm BLEU và công cụ huấn luyện hệ dịch nơ ron trong nghiên cứu này là gì?,C,C,✓,297
11,Nội dung chính của tài liệu Public_003 là gì?,B,B,✓,584
12,"Theo kết quả thử nghiệm, hệ dịch Adapt_System cải thiện bao nhiêu điểm BLEU so với Baseline_G trong miền pháp lý?",D,D,✓,45
13,Công nghệ in bê tông 3D được thực hiện theo quy trình nào?,C,C,✓,490
14,Công nghệ nào được phát triển tại Đại học Loughborough (Anh)?,B,B,✓,105
15,"Công nghệ in bê tông 3D nào vừa cho phép kiểm soát tốt cấu trúc sản phẩm, vừa sử dụng bê tông cốt liệu sợi tổng hợp cường độ cao?",B,B,✓,266
16,Nội dung chính của bài báo Public_004 là gì?,B,B,✓,428
17,"Trong tài liệu, ưu điểm của công nghệ Contour Crafting so với Concrete Printing là gì?",A,A,✓,297
18,OCR là viết tắt của gì trong bài báo này?,A,A,✓,141
19,"Giải pháp thử nghiệm tại Học viện Ngân hàng được lựa chọn là gì, theo tài liệu Public_005?",B,B,✓,233
20,"Công nghệ nào vừa cho phép máy tính tự động nhận biết ký tự trên hình ảnh, vừa có khả năng đọc hiểu dữ liệu chữ viết tay và chữ in?",B,B,✓,497
21,Nội dung chính của bài báo là gì?,B,B,✓,406
22,"Theo tài liệu Public_005, tỷ lệ sai số theo đơn vị từ của FPT.AI Reader trong thử nghiệm là bao nhiêu?",C,C,✓,101
23,"Theo tài liệu Public_006, các nhiệm vụ và quyền hạn của các thiết chế quản trị đại học ở Việt Nam được quy định trong luật nào?",B,B,✓,181
24,"Theo tài liệu Public_006, cơ quan nào có thẩm quyền cao nhất trong trường đại học?",A,A,✓,136
25,"Làm thế nào để ứng dụng công nghệ số trong quản trị đại học có thể bao quát toàn bộ hoạt động của nhà trường kịp thời và hỗ trợ ra quyết sách quản lý, điều hành hiệu quả?",B,B,✓,614
26,Nội dung chính của bài báo Public_006 là gì?,B,B,✓,554
27,"Theo số liệu trong tài liệu, đến nay ngành giáo dục đã số hóa dữ liệu của khoảng bao nhiêu giáo viên và học sinh?",D,D,✓,140
28,ISO 15189:2022 áp dụng cho đối tượng nào?,B,B,✓,160
29,"Theo tiêu chuẩn trong tài liệu Public_007, “khiếu nại” được định nghĩa như thế nào?",C,C,✓,114
